comment_id,commenter_type,coalition,cluster_id
HHS-ONC-2026-0001-0003,IND,Limited Engagement,1
HHS-ONC-2026-0001-0004,IND,Limited Engagement,1
HHS-ONC-2026-0001-0002,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0005,AIC,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0013,IND,Selective Universalists,2
HHS-ONC-2026-0001-0012,AIC,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0006,IND,Limited Engagement,1
HHS-ONC-2026-0001-0011,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0010,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0017,IND,Limited Engagement,1
HHS-ONC-2026-0001-0015,AIC,Limited Engagement,1
HHS-ONC-2026-0001-0014,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0016,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0018,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0019,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0020,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0022,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0021,TEC,Limited Engagement,1
HHS-ONC-2026-0001-0023,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0025,IND,Limited Engagement,1
HHS-ONC-2026-0001-0024,IND,Limited Engagement,1
HHS-ONC-2026-0001-0027,HSP,Limited Engagement,1
HHS-ONC-2026-0001-0026,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0030,HSP,Selective Universalists,2
HHS-ONC-2026-0001-0028,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0029,IND,Limited Engagement,1
HHS-ONC-2026-0001-0031,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0032,IND,Limited Engagement,1
HHS-ONC-2026-0001-0035,IND,Limited Engagement,1
HHS-ONC-2026-0001-0034,IND,Limited Engagement,1
HHS-ONC-2026-0001-0036,IND,Limited Engagement,1
HHS-ONC-2026-0001-0033,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0037,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0038,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0041,AIC,Limited Engagement,1
HHS-ONC-2026-0001-0042,TEC,Limited Engagement,1
HHS-ONC-2026-0001-0040,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0039,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0043,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0044,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0047,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0045,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0046,POL,Limited Engagement,1
HHS-ONC-2026-0001-0048,LAB,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0049,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0052,IND,Limited Engagement,1
HHS-ONC-2026-0001-0050,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0051,IND,Limited Engagement,1
HHS-ONC-2026-0001-0053,IND,Limited Engagement,1
HHS-ONC-2026-0001-0054,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0055,MPS,Limited Engagement,1
HHS-ONC-2026-0001-0058,IND,Limited Engagement,1
HHS-ONC-2026-0001-0056,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0059,IND,Limited Engagement,1
HHS-ONC-2026-0001-0057,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0060,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0062,IND,Limited Engagement,1
HHS-ONC-2026-0001-0061,HSP,Selective Universalists,2
HHS-ONC-2026-0001-0065,IND,Limited Engagement,1
HHS-ONC-2026-0001-0063,IND,Limited Engagement,1
HHS-ONC-2026-0001-0064,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0066,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0067,IND,Limited Engagement,1
HHS-ONC-2026-0001-0069,IND,Limited Engagement,1
HHS-ONC-2026-0001-0070,IND,Limited Engagement,1
HHS-ONC-2026-0001-0072,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0071,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0073,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0074,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0075,LAB,Limited Engagement,1
HHS-ONC-2026-0001-0076,AIC,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0078,MPS,Selective Universalists,2
HHS-ONC-2026-0001-0079,IND,Limited Engagement,1
HHS-ONC-2026-0001-0077,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0080,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0081,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0082,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0085,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0083,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0084,HSP,Limited Engagement,1
HHS-ONC-2026-0001-0086,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0087,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0089,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0088,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0090,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0091,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0092,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0093,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0094,MPS,Selective Universalists,2
HHS-ONC-2026-0001-0095,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0096,HIT,Comprehensive Pragmatists,0
