comment_id,organization,commenter_type,mahal_dist,cluster_id,pos_oversight,pos_regulation,pos_liability,pos_reimbursement,pos_interoperability,pos_evaluation
HHS-ONC-2026-0001-0110,"UpDoc, Inc.",HIT,3.123449409815733,1,H1,R3,L2,P1,D1,E3
HHS-ONC-2026-0001-0191,CGI Federal Inc.,HIT,3.103525206291235,1,H1,R3,L2,P2,D1,E3
HHS-ONC-2026-0001-0239,Society of Diagnostic Medical Sonography,MPS,3.0818326953306068,1,H1,R3,L2,P0,D1,E3
HHS-ONC-2026-0001-0158,InterSystems Corporation,HIT,3.0253363598969223,0,H0,R2,L0,P5,D1,E0
HHS-ONC-2026-0001-0390,American Academy of Ophthalmology,MPS,3.0173741997447183,0,H0,R3,L0,P1,D1,E0
HHS-ONC-2026-0001-0247,LeadingAge,ADV,3.0148376405198425,1,H1,R3,L2,P4,D1,E3
HHS-ONC-2026-0001-0402,,ADV,3.0025994302108017,0,H0,R3,L0,P5,D1,E0
HHS-ONC-2026-0001-0120,Quiet Signal Technologies LLX,HIT,2.8769996428288303,0,H0,R3,L0,P0,D1,E0
HHS-ONC-2026-0001-0237,MAHA Institute,AIC,2.8614608916859274,1,H1,R3,L2,P5,D1,E3
HHS-ONC-2026-0001-0446,HBMA,HIT,2.8433389705379657,0,H1,R3,L4,P3,D1,E4
HHS-ONC-2026-0001-0255,,HIT,2.7926436660516085,0,H0,R3,L0,P2,D2,E0
HHS-ONC-2026-0001-0411,Anatomy Mapper OpCo,HIT,2.7926436660516085,0,H0,R3,L0,P2,D2,E0
HHS-ONC-2026-0001-0082,,HIT,2.753315964539566,0,H0,R3,L0,P1,D2,E0
HHS-ONC-2026-0001-0098,American Society of Retina Specialists,MPS,2.7383082471013984,1,H2,R3,L2,P1,D1,E0
HHS-ONC-2026-0001-0066,PeriGen,HIT,2.709418922994746,0,H0,R2,L0,P2,D1,E0
