rfi_question,stakeholder,n_total,n_addressed,address_rate
1,ADV,77,40,0.519
1,AIC,22,14,0.636
1,HIT,124,89,0.718
1,HSP,47,29,0.617
1,IND,88,23,0.261
1,LAB,5,3,0.6
1,MPS,54,24,0.444
1,PAY,10,2,0.2
1,POL,11,5,0.455
1,TEC,8,4,0.5
2,ADV,77,39,0.506
2,AIC,22,12,0.545
2,HIT,124,91,0.734
2,HSP,47,30,0.638
2,IND,88,14,0.159
2,LAB,5,3,0.6
2,MPS,54,25,0.463
2,PAY,10,2,0.2
2,POL,11,4,0.364
2,TEC,8,4,0.5
3,ADV,77,35,0.455
3,AIC,22,12,0.545
3,HIT,124,77,0.621
3,HSP,47,28,0.596
3,IND,88,15,0.17
3,LAB,5,2,0.4
3,MPS,54,21,0.389
3,PAY,10,2,0.2
3,POL,11,4,0.364
3,TEC,8,4,0.5
4,ADV,77,23,0.299
4,AIC,22,11,0.5
4,HIT,124,67,0.54
4,HSP,47,26,0.553
4,IND,88,16,0.182
4,LAB,5,1,0.2
4,MPS,54,20,0.37
4,PAY,10,2,0.2
4,POL,11,3,0.273
4,TEC,8,3,0.375
5,ADV,77,29,0.377
5,AIC,22,11,0.5
5,HIT,124,76,0.613
5,HSP,47,28,0.596
5,IND,88,12,0.136
5,LAB,5,2,0.4
5,MPS,54,21,0.389
5,PAY,10,2,0.2
5,POL,11,5,0.455
5,TEC,8,3,0.375
6,ADV,77,23,0.299
6,AIC,22,9,0.409
6,HIT,124,68,0.548
6,HSP,47,26,0.553
6,IND,88,10,0.114
6,LAB,5,1,0.2
6,MPS,54,20,0.37
6,PAY,10,2,0.2
6,POL,11,5,0.455
6,TEC,8,3,0.375
7,ADV,77,21,0.273
7,AIC,22,8,0.364
7,HIT,124,68,0.548
7,HSP,47,22,0.468
7,IND,88,12,0.136
7,LAB,5,1,0.2
7,MPS,54,22,0.407
7,PAY,10,1,0.1
7,POL,11,3,0.273
7,TEC,8,3,0.375
8,ADV,77,22,0.286
8,AIC,22,8,0.364
8,HIT,124,81,0.653
8,HSP,47,21,0.447
8,IND,88,16,0.182
8,LAB,5,1,0.2
8,MPS,54,22,0.407
8,PAY,10,1,0.1
8,POL,11,4,0.364
8,TEC,8,4,0.5
9,ADV,77,30,0.39
9,AIC,22,10,0.455
9,HIT,124,64,0.516
9,HSP,47,22,0.468
9,IND,88,13,0.148
9,LAB,5,1,0.2
9,MPS,54,15,0.278
9,PAY,10,0,0.0
9,POL,11,5,0.455
9,TEC,8,3,0.375
10,ADV,77,24,0.312
10,AIC,22,9,0.409
10,HIT,124,62,0.5
10,HSP,47,19,0.404
10,IND,88,17,0.193
10,LAB,5,1,0.2
10,MPS,54,16,0.296
10,PAY,10,0,0.0
10,POL,11,4,0.364
10,TEC,8,4,0.5
