axis,stakeholder,n_total,n_addressed,address_rate,ci_lo,ci_hi
Oversight,ADV,77,72,0.935,0.857,0.972
Oversight,AIC,22,16,0.727,0.518,0.868
Oversight,HIT,124,97,0.782,0.702,0.846
Oversight,HSP,47,46,0.979,0.889,0.996
Oversight,IND,88,62,0.705,0.602,0.79
Oversight,LAB,5,4,0.8,0.376,0.964
Oversight,MPS,54,51,0.944,0.849,0.981
Oversight,PAY,10,10,1.0,0.722,1.0
Oversight,POL,11,10,0.909,0.623,0.984
Oversight,TEC,8,5,0.625,0.306,0.863
Regulation,ADV,77,70,0.909,0.824,0.955
Regulation,AIC,22,20,0.909,0.722,0.975
Regulation,HIT,124,116,0.935,0.878,0.967
Regulation,HSP,47,45,0.957,0.858,0.988
Regulation,IND,88,64,0.727,0.626,0.809
Regulation,LAB,5,5,1.0,0.566,1.0
Regulation,MPS,54,46,0.852,0.734,0.923
Regulation,PAY,10,10,1.0,0.722,1.0
Regulation,POL,11,11,1.0,0.741,1.0
Regulation,TEC,8,7,0.875,0.529,0.978
Liability,ADV,77,48,0.623,0.512,0.723
Liability,AIC,22,12,0.545,0.347,0.731
Liability,HIT,124,78,0.629,0.541,0.709
Liability,HSP,47,36,0.766,0.628,0.864
Liability,IND,88,18,0.205,0.133,0.3
Liability,LAB,5,1,0.2,0.036,0.624
Liability,MPS,54,32,0.593,0.46,0.713
Liability,PAY,10,4,0.4,0.168,0.687
Liability,POL,11,5,0.455,0.213,0.72
Liability,TEC,8,4,0.5,0.215,0.785
Reimbursement,ADV,77,47,0.61,0.499,0.712
Reimbursement,AIC,22,17,0.773,0.566,0.899
Reimbursement,HIT,124,100,0.806,0.728,0.866
Reimbursement,HSP,47,41,0.872,0.748,0.94
Reimbursement,IND,88,24,0.273,0.191,0.374
Reimbursement,LAB,5,4,0.8,0.376,0.964
Reimbursement,MPS,54,29,0.537,0.406,0.663
Reimbursement,PAY,10,7,0.7,0.397,0.892
Reimbursement,POL,11,6,0.545,0.28,0.787
Reimbursement,TEC,8,5,0.625,0.306,0.863
Interoperability,ADV,77,42,0.545,0.435,0.652
Interoperability,AIC,22,15,0.682,0.473,0.836
Interoperability,HIT,124,102,0.823,0.746,0.88
Interoperability,HSP,47,34,0.723,0.582,0.831
Interoperability,IND,88,40,0.455,0.355,0.558
Interoperability,LAB,5,3,0.6,0.231,0.882
Interoperability,MPS,54,35,0.648,0.515,0.762
Interoperability,PAY,10,7,0.7,0.397,0.892
Interoperability,POL,11,5,0.455,0.213,0.72
Interoperability,TEC,8,7,0.875,0.529,0.978
Evaluation,ADV,77,62,0.805,0.703,0.878
Evaluation,AIC,22,18,0.818,0.615,0.927
Evaluation,HIT,124,101,0.815,0.737,0.873
Evaluation,HSP,47,44,0.936,0.828,0.978
Evaluation,IND,88,56,0.636,0.532,0.729
Evaluation,LAB,5,4,0.8,0.376,0.964
Evaluation,MPS,54,44,0.815,0.692,0.896
Evaluation,PAY,10,9,0.9,0.596,0.982
Evaluation,POL,11,10,0.909,0.623,0.984
Evaluation,TEC,8,8,1.0,0.676,1.0
