,top_regulation,top_evaluation,top_reimbursement,top_transparency,top_workflow,top_trust,top_safety,top_fda_scope,top_interoperability,top_equity,top_liability,top_admin_burden,top_standards,top_workforce,top_privacy
top_regulation,1.0,0.42203703982981255,0.2688529448829481,0.4193542166745184,0.15151851538569794,0.29379824265362026,0.3089216960986156,0.34468014658799945,0.2032406193472656,0.2705629920941641,0.3883358501494903,0.22454370429920315,0.36016923585795213,0.10750947729625247,0.3932398584819668
top_evaluation,0.42203703982981255,1.0,0.2240255761850804,0.394653461840244,0.27422808072999605,0.2719037513163481,0.43320911196514095,0.341855196288905,0.26359503896121916,0.34645229384738296,0.3969692415664395,0.23563126880883867,0.4740525191063181,0.15161960871578065,0.3018535561254333
top_reimbursement,0.26885294488294814,0.2240255761850804,1.0,0.3790558025699785,0.42878723437144584,0.04877653872662686,0.061692321064531,0.3211413458863757,0.4331626438216934,0.2432667182640162,0.38606954273485306,0.4122467835872471,0.27198889773906954,0.20568833780186072,0.21340033284391155
top_transparency,0.41935421667451844,0.3946534618402441,0.3790558025699785,1.0,0.34688077881386165,0.3237868827942769,0.23973904271473703,0.3004020798030936,0.36661215127281693,0.3429857823416693,0.5055685374441145,0.3989049496254293,0.4449624602203945,0.08137325199628787,0.3177685408439433
top_workflow,0.15151851538569794,0.27422808072999605,0.4287872343714458,0.34688077881386165,1.0,0.1911802991579605,0.14497932915686038,0.17787143819267912,0.4136054857166996,0.32853151519134904,0.3380684447821163,0.47839426863162093,0.2952920207019787,0.291287632501768,0.16962892651473088
top_trust,0.29379824265362026,0.2719037513163481,0.04877653872662686,0.323786882794277,0.19118029915796048,1.0,0.22281531385354633,0.12956091367571224,0.07935791830126951,0.2516745075022623,0.29953689359103103,0.24281676766340446,0.11647182552896668,0.19698925044026316,0.2837408825167449
top_safety,0.30892169609861564,0.433209111965141,0.061692321064531,0.23973904271473703,0.14497932915686038,0.22281531385354633,1.0,0.3239981034805411,0.021751606059128417,0.253559135195731,0.3145044146354821,0.04129297104956411,0.2570695156251827,0.13488314200631815,0.19130484788343877
top_fda_scope,0.34468014658799945,0.341855196288905,0.3211413458863757,0.3004020798030936,0.17787143819267912,0.12956091367571224,0.3239981034805411,1.0,0.17231852647000312,0.1923666469066432,0.31988759081989077,0.11109131178039111,0.3227484684507664,0.11239730173464296,0.19802413423949805
top_interoperability,0.20324061934726556,0.26359503896121916,0.4331626438216934,0.36661215127281693,0.4136054857166996,0.07935791830126951,0.02175160605912842,0.17231852647000312,1.0,0.24302055860134483,0.3383505835758294,0.3723202689682225,0.4737341905769351,0.02812719752315062,0.19969338164134268
top_equity,0.2705629920941641,0.3464522938473829,0.24326671826401616,0.3429857823416693,0.32853151519134904,0.2516745075022622,0.25355913519573103,0.1923666469066432,0.24302055860134483,1.0,0.2950048686374271,0.3281643737141706,0.13407858993563357,0.21179552857282893,0.2124105849272905
top_liability,0.38833585014949024,0.3969692415664395,0.38606954273485306,0.5055685374441146,0.33806844478211623,0.29953689359103103,0.3145044146354821,0.31988759081989077,0.33835058357582937,0.2950048686374271,1.0,0.3876869128913478,0.37257246057697196,0.19950596878025326,0.3453169653912245
top_admin_burden,0.22454370429920315,0.23563126880883864,0.41224678358724703,0.3989049496254293,0.47839426863162093,0.24281676766340446,0.04129297104956411,0.11109131178039111,0.37232026896822246,0.32816437371417057,0.3876869128913478,1.0,0.25022550207330047,0.2591259982588028,0.2879046347020636
top_standards,0.3601692358579521,0.47405251910631807,0.27198889773906954,0.44496246022039443,0.29529202070197874,0.11647182552896666,0.25706951562518277,0.3227484684507663,0.47373419057693505,0.13407858993563354,0.37257246057697196,0.25022550207330047,1.0,0.02759568490209132,0.2414739969115763
top_workforce,0.10750947729625246,0.15161960871578067,0.20568833780186072,0.08137325199628787,0.29128763250176803,0.1969892504402632,0.13488314200631815,0.11239730173464298,0.028127197523150616,0.21179552857282896,0.19950596878025323,0.2591259982588028,0.02759568490209132,1.0,0.15650214060934783
top_privacy,0.3932398584819668,0.3018535561254333,0.21340033284391158,0.3177685408439433,0.16962892651473088,0.2837408825167449,0.19130484788343874,0.19802413423949805,0.19969338164134268,0.2124105849272905,0.34531696539122453,0.2879046347020637,0.2414739969115763,0.1565021406093478,1.0
