topic,variable,commenter_type,commenter_label,n_yes,n_total,prevalence,ci95_lo,ci95_hi,chi2_overall,p_overall,test,cramers_v,q_value_bh,significant_bh_05
Regulatory framework,top_regulation,ADV,Patient / consumer advocate,68,77,0.883,0.793,0.937,37.896,0.0,Pearson χ²,0.291,0.0,True
Regulatory framework,top_regulation,AIC,AI company,18,22,0.818,0.615,0.927,37.896,0.0,Pearson χ²,0.291,0.0,True
Regulatory framework,top_regulation,HIT,Health IT,108,124,0.871,0.801,0.919,37.896,0.0,Pearson χ²,0.291,0.0,True
Regulatory framework,top_regulation,HSP,Health system / provider,42,47,0.894,0.774,0.954,37.896,0.0,Pearson χ²,0.291,0.0,True
Regulatory framework,top_regulation,IND,Individual,52,88,0.591,0.486,0.688,37.896,0.0,Pearson χ²,0.291,0.0,True
Regulatory framework,top_regulation,LAB,Labor organization,4,5,0.8,0.376,0.964,37.896,0.0,Pearson χ²,0.291,0.0,True
Regulatory framework,top_regulation,MPS,Medical professional society,41,54,0.759,0.631,0.854,37.896,0.0,Pearson χ²,0.291,0.0,True
Regulatory framework,top_regulation,PAY,Payer / insurer,10,10,1.0,0.722,1.0,37.896,0.0,Pearson χ²,0.291,0.0,True
Regulatory framework,top_regulation,POL,Policy / academic / consulting,9,11,0.818,0.523,0.949,37.896,0.0,Pearson χ²,0.291,0.0,True
Regulatory framework,top_regulation,TEC,Tech / pharma / device,7,8,0.875,0.529,0.978,37.896,0.0,Pearson χ²,0.291,0.0,True
Evaluation & monitoring,top_evaluation,ADV,Patient / consumer advocate,62,77,0.805,0.703,0.878,32.456,0.0002,Pearson χ²,0.27,0.0003,True
Evaluation & monitoring,top_evaluation,AIC,AI company,17,22,0.773,0.566,0.899,32.456,0.0002,Pearson χ²,0.27,0.0003,True
Evaluation & monitoring,top_evaluation,HIT,Health IT,101,124,0.815,0.737,0.873,32.456,0.0002,Pearson χ²,0.27,0.0003,True
Evaluation & monitoring,top_evaluation,HSP,Health system / provider,45,47,0.957,0.858,0.988,32.456,0.0002,Pearson χ²,0.27,0.0003,True
