outcome_coalition,feature,beta,odds_ratio,or_median,or_ci_lo,or_ci_hi,n_bootstrap_valid
Comprehensive Pragmatists,ctype_ADV,-0.2704,0.7631,0.753,0.4677,1.1693,1000
Comprehensive Pragmatists,ctype_AIC,-0.0883,0.9155,0.9064,0.3768,1.8251,1000
Comprehensive Pragmatists,ctype_HIT,0.4891,1.6309,1.655,1.0341,2.7092,1000
Comprehensive Pragmatists,ctype_HSP,0.7763,2.1734,2.19,1.279,3.9215,1000
Comprehensive Pragmatists,ctype_LAB,0.3127,1.3671,1.3545,0.6136,2.9465,1000
Comprehensive Pragmatists,ctype_MPS,-0.0338,0.9668,0.9464,0.5876,1.5559,1000
Comprehensive Pragmatists,ctype_PAY,0.1995,1.2209,1.2555,0.5512,2.754,1000
Comprehensive Pragmatists,ctype_POL,0.0456,1.0466,1.0958,0.5082,2.1208,1000
Comprehensive Pragmatists,ctype_TEC,0.0155,1.0156,1.0086,0.5865,1.8091,1000
Comprehensive Pragmatists,n_proposals,0.9935,2.7006,2.7836,2.1588,3.8557,1000
Comprehensive Pragmatists,log_total_chars,0.3402,1.4053,1.4154,1.0681,1.9355,1000
Comprehensive Pragmatists,has_cfr,0.2978,1.3468,1.3607,0.9358,2.0091,1000
Limited Engagement,ctype_ADV,-0.3805,0.6836,0.6778,0.4229,1.1157,1000
Limited Engagement,ctype_AIC,0.1522,1.1644,1.1742,0.6354,2.3014,1000
Limited Engagement,ctype_HIT,0.5229,1.6869,1.694,1.0998,2.6735,1000
Limited Engagement,ctype_HSP,-0.3607,0.6972,0.6963,0.3762,1.2649,1000
Limited Engagement,ctype_LAB,0.2207,1.247,1.2364,0.5624,2.3546,1000
Limited Engagement,ctype_MPS,-0.3183,0.7274,0.7287,0.4369,1.1925,1000
Limited Engagement,ctype_PAY,-0.255,0.7749,0.7897,0.3463,1.6082,1000
Limited Engagement,ctype_POL,-0.0873,0.9164,0.9109,0.4416,1.8161,1000
Limited Engagement,ctype_TEC,0.2125,1.2368,1.2459,0.5992,2.4714,1000
Limited Engagement,n_proposals,-0.9838,0.3739,0.3611,0.2599,0.4917,1000
Limited Engagement,log_total_chars,0.0655,1.0677,1.0678,0.8499,1.3621,1000
Limited Engagement,has_cfr,0.2751,1.3166,1.3127,0.8641,2.0134,1000
Selective Universalists,ctype_ADV,0.6508,1.9171,1.9843,1.2471,3.0444,1000
Selective Universalists,ctype_AIC,-0.0639,0.9381,0.9562,0.4359,1.8729,1000
Selective Universalists,ctype_HIT,-1.012,0.3635,0.3581,0.2007,0.6147,1000
Selective Universalists,ctype_HSP,-0.4155,0.66,0.6605,0.3424,1.1552,1000
Selective Universalists,ctype_LAB,-0.5334,0.5866,0.6146,0.451,0.8647,1000
Selective Universalists,ctype_MPS,0.3521,1.422,1.4642,0.925,2.3528,1000
Selective Universalists,ctype_PAY,0.0555,1.057,1.0244,0.4778,2.3055,1000
Selective Universalists,ctype_POL,0.0418,1.0426,1.0281,0.4856,2.2525,1000
Selective Universalists,ctype_TEC,-0.228,0.7961,0.7756,0.4527,1.7112,1000
Selective Universalists,n_proposals,-0.0096,0.9904,0.9895,0.7086,1.3563,1000
Selective Universalists,log_total_chars,-0.4057,0.6665,0.6574,0.4781,0.85,1000
Selective Universalists,has_cfr,-0.5728,0.5639,0.5569,0.3557,0.8858,1000
