rfi_question,stakeholder,n_addressed,n_total,prevalence
1,ADV,40,77,0.519
1,AIC,14,22,0.636
1,HIT,89,124,0.718
1,HSP,29,47,0.617
1,IND,23,88,0.261
1,LAB,3,5,0.6
1,MPS,24,54,0.444
1,PAY,2,10,0.2
1,POL,5,11,0.455
1,TEC,4,8,0.5
2,ADV,39,77,0.506
2,AIC,12,22,0.545
2,HIT,91,124,0.734
2,HSP,30,47,0.638
2,IND,14,88,0.159
2,LAB,3,5,0.6
2,MPS,25,54,0.463
2,PAY,2,10,0.2
2,POL,4,11,0.364
2,TEC,4,8,0.5
3,ADV,35,77,0.455
3,AIC,12,22,0.545
3,HIT,77,124,0.621
3,HSP,28,47,0.596
3,IND,15,88,0.17
3,LAB,2,5,0.4
3,MPS,21,54,0.389
3,PAY,2,10,0.2
3,POL,4,11,0.364
3,TEC,4,8,0.5
4,ADV,23,77,0.299
4,AIC,11,22,0.5
4,HIT,67,124,0.54
4,HSP,26,47,0.553
4,IND,16,88,0.182
4,LAB,1,5,0.2
4,MPS,20,54,0.37
4,PAY,2,10,0.2
4,POL,3,11,0.273
4,TEC,3,8,0.375
5,ADV,29,77,0.377
5,AIC,11,22,0.5
5,HIT,76,124,0.613
5,HSP,28,47,0.596
5,IND,12,88,0.136
5,LAB,2,5,0.4
5,MPS,21,54,0.389
5,PAY,2,10,0.2
5,POL,5,11,0.455
5,TEC,3,8,0.375
6,ADV,23,77,0.299
6,AIC,9,22,0.409
6,HIT,68,124,0.548
6,HSP,26,47,0.553
6,IND,10,88,0.114
6,LAB,1,5,0.2
6,MPS,20,54,0.37
6,PAY,2,10,0.2
6,POL,5,11,0.455
6,TEC,3,8,0.375
7,ADV,21,77,0.273
7,AIC,8,22,0.364
7,HIT,68,124,0.548
7,HSP,22,47,0.468
7,IND,12,88,0.136
7,LAB,1,5,0.2
7,MPS,22,54,0.407
7,PAY,1,10,0.1
7,POL,3,11,0.273
7,TEC,3,8,0.375
8,ADV,22,77,0.286
8,AIC,8,22,0.364
8,HIT,81,124,0.653
8,HSP,21,47,0.447
8,IND,16,88,0.182
8,LAB,1,5,0.2
8,MPS,22,54,0.407
8,PAY,1,10,0.1
8,POL,4,11,0.364
8,TEC,4,8,0.5
9,ADV,30,77,0.39
9,AIC,10,22,0.455
9,HIT,64,124,0.516
9,HSP,22,47,0.468
9,IND,13,88,0.148
9,LAB,1,5,0.2
9,MPS,15,54,0.278
9,PAY,0,10,0.0
9,POL,5,11,0.455
9,TEC,3,8,0.375
10,ADV,24,77,0.312
10,AIC,9,22,0.409
10,HIT,62,124,0.5
10,HSP,19,47,0.404
10,IND,17,88,0.193
10,LAB,1,5,0.2
10,MPS,16,54,0.296
10,PAY,0,10,0.0
10,POL,4,11,0.364
10,TEC,4,8,0.5
